Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
michael-stars-womens-short-sleeve-off-shoulder-dolman-shirt,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/michael-stars-womens-short-sleeve-off-shoulder-dolman-shirt_4.png?v=1446020756,4,,,,,,,,,,,,,,,,,,,,,
michael-stars-womens-short-sleeve-off-shoulder-dolman-shirt,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/michael-stars-womens-short-sleeve-off-shoulder-dolman-shirt_5.png?v=1446020756,5,,,,,,,,,,,,,,,,,,,,,
nautica-mens-sleepwear-quarter-zip-knit-seaworthy,Nautica Men's Sleepwear Quarter Zip Knit Seaworthy,"<p>And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one.</p>
<h4>Fashion has always been so temporary and uncertain</h4>
<ol>
<li>With the great pleasure we are offering you our goods</li>
<li>Fashion satisfies our willingness to be attractive</li>
<li>That is why we are offering you the result of great market and technological research</li>
<li>The unique combination of fair price, extraordinary style and perfect quality</li>
</ol>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of <strong>different groups of potential clients</strong> very deeply. And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Fashion has always been so temporary and uncertain.</p>
<p>And also<a target=""_blank"" href=""https://www.youtube.com/watch?v=E_IG2ubeTME""> fashion is the detector of prosperity and social rank</a>. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago.</p>",Styler,Uniforms,"sweaters, t-shirts",true,Title,Default Title,,,,,654654654-56,0,shopify,0,deny,manual,99.00,,true,false,'541265746854231,https://cdn.shopify.com/s/files/1/1026/0021/products/nautica-mens-sleepwear-quarter-zip-knit-seaworthy_1.png?v=1446020767,1,,false,,,,,,,,,,,,,,,,,kg,,
nautica-mens-sleepwear-quarter-zip-knit-seaworthy,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/nautica-mens-sleepwear-quarter-zip-knit-seaworthy_2.png?v=1446020767,2,,,,,,,,,,,,,,,,,,,,,
nautica-mens-sleepwear-quarter-zip-knit-seaworthy,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/nautica-mens-sleepwear-quarter-zip-knit-seaworthy_3.png?v=1446020767,3,,,,,,,,,,,,,,,,,,,,,
nautica-mens-sleepwear-quarter-zip-knit-seaworthy,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/nautica-mens-sleepwear-quarter-zip-knit-seaworthy_4.png?v=1446020767,4,,,,,,,,,,,,,,,,,,,,,
nautica-mens-sleepwear-quarter-zip-knit-seaworthy,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/nautica-mens-sleepwear-quarter-zip-knit-seaworthy_5.png?v=1446020767,5,,,,,,,,,,,,,,,,,,,,,
only-and-sons-mens-long-sleeve-coat,Only & Sons Men's Long Sleeve Coat,"<p>Fashion has always been so temporary and uncertain. <strong>You can’t keep up with it.</strong> This social phenomenon is very whimsical, thus we as the consumers always try to stay in touch with all the latest fashion tendencies. Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank.But nowadays fashion is not such unavailable as it was a couple of centuries ago.</p>
<h3>It will suit you best of all</h3>
<p><iframe src=""https://www.youtube-nocookie.com/embed/CHXRTStPrUQ?rel=0"" allowfullscreen="""" height=""720"" width=""1280""></iframe></p>
<p>You have made the right choice.</p>
<ul>
<li>Our natural desire to wear fashionable clothes has many reasons</li>
<li>Just take a look at our assortment</li>
<li>We have foreseen all your needs</li>
</ul>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply.</p>
<h4>Fashion has always been so temporary and uncertain</h4>
<p>The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality. Here you can find garments of all sizes, colors, styles and fabrics. It will suit you best of all. Because we all live in the time of total consuming of uncountable goods and services, and this has become the main reason for the rapid growth of a so-called culture of consumption in our society. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one.</p>",Styler,Vintage,"",true,Color,Black,Size,XL,Type,Fabric,"",1202,shopify,100,continue,manual,400.00,410.00,true,true,,https://cdn.shopify.com/s/files/1/1026/0021/products/only-and-sons-mens-long-sleeve-coat_1.png?v=1446020777,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/only-and-sons-mens-long-sleeve-coat_1.png?v=1446020777,lb,,
only-and-sons-mens-long-sleeve-coat,,,,,,,,Blue,,XXL,,Leather,"",2500,shopify,100,deny,manual,405.00,410.00,true,true,,https://cdn.shopify.com/s/files/1/1026/0021/products/only-and-sons-mens-long-sleeve-coat_2.png?v=1446020777,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/only-and-sons-mens-long-sleeve-coat_2.png?v=1446020777,kg,,
only-and-sons-mens-long-sleeve-coat,,,,,,,,Red,,XL,,Fabric,"",799,shopify,1,deny,manual,399.00,405.00,true,true,,https://cdn.shopify.com/s/files/1/1026/0021/products/only-and-sons-mens-long-sleeve-coat_3.png?v=1446020777,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/only-and-sons-mens-long-sleeve-coat_3.png?v=1446020777,oz,,
only-and-sons-mens-long-sleeve-coat,,,,,,,,Black,,XXL,,Leather,"",100,shopify,13,continue,manual,400.00,415.00,true,true,,https://cdn.shopify.com/s/files/1/1026/0021/products/only-and-sons-mens-long-sleeve-coat_4.png?v=1446020777,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/only-and-sons-mens-long-sleeve-coat_4.png?v=1446020777,g,,
only-and-sons-mens-long-sleeve-coat,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/only-and-sons-mens-long-sleeve-coat_5.png?v=1446020777,5,,,,,,,,,,,,,,,,,,,,,
replay-womens-vicki-straight-jeans-blue-blue-denim-10-w25-l30-manufacturer-size-25,"Replay Women's Vicki Straight Jeans, Blue (Blue Denim 10), W25 L30 (Manufacturer Size 25)","<h3>You have made the right choice</h3>
<p>And it is good for you because as we all know people change their claims with the course of time, and our good will be actual for a long time. The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality. Here you can find garments of all sizes, colors, styles and fabrics. It will suit you best of all. Our employees put in great efforts to make this commodity. It will suit you best of all. Because we all live in the time of total consuming of uncountable goods and services, and this has become the main reason for the rapid growth of a so-called culture of consumption in our society.</p>
<p>So, this <a target=""_blank"" href=""https://www.youtube.com/watch?v=0TSSoT4c2BI"">circumstance forced all leading successful companies</a> to explore all needs and wishes of different groups of potential clients very deeply. Our employees put in great efforts to make this commodity.</p>
<h3>Fashion has always been so temporary and uncertain</h3>
<p>We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes. So, with the great pleasure we are offering you our goods, and we are sure that only our choices of garments will suit you best.</p>
<p>Our product is universal because it suits different customers with different demands. We assure you it is really important, it shows that our good has such capacity as flexibility.</p>
<ul>
<li>Unique combination of fair price, extraordinary style and perfect quality</li>
<li>Just take a look at our assortment</li>
<li>We can propose you a list of gift ideas</li>
</ul>
<h3>Comfortable clothes</h3>
<p>We have foreseen all your needs.</p>
<blockquote>
<p>And it is good for you because as we all know people change their claims with the course of time, and our good will be actual for a long time. The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality.</p>
</blockquote>
<p><iframe src=""https://www.youtube-nocookie.com/embed/E_IG2ubeTME?rel=0"" allowfullscreen="""" height=""720"" width=""1280""></iframe></p>
<p>So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago. We are lucky to have an opportunity to buy qualitative, fashionable and affordable clothes. So, with the great pleasure we are offering you our goods, and we are sure that only our choices of garments will suit you best.</p>",Styler,Casual,"",true,Title,Default Title,,,,,"",0,shopify,98,deny,manual,70.00,,true,true,"",https://cdn.shopify.com/s/files/1/1026/0021/products/replay-womens-vicki-straight-jeans-blue-blue-denim-10-w25-l30-manufacturer-size-25_1.png?v=1446020786,1,,false,,,,,,,,,,,,,,,,,kg,,
replay-womens-vicki-straight-jeans-blue-blue-denim-10-w25-l30-manufacturer-size-25,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/replay-womens-vicki-straight-jeans-blue-blue-denim-10-w25-l30-manufacturer-size-25_2.png?v=1446020786,2,,,,,,,,,,,,,,,,,,,,,
replay-womens-vicki-straight-jeans-blue-blue-denim-10-w25-l30-manufacturer-size-25,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/replay-womens-vicki-straight-jeans-blue-blue-denim-10-w25-l30-manufacturer-size-25_3.png?v=1446020786,3,,,,,,,,,,,,,,,,,,,,,
replay-womens-vicki-straight-jeans-blue-blue-denim-10-w25-l30-manufacturer-size-25,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/replay-womens-vicki-straight-jeans-blue-blue-denim-10-w25-l30-manufacturer-size-25_4.png?v=1446020786,4,,,,,,,,,,,,,,,,,,,,,
replay-womens-vicki-straight-jeans-blue-blue-denim-10-w25-l30-manufacturer-size-25,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/replay-womens-vicki-straight-jeans-blue-blue-denim-10-w25-l30-manufacturer-size-25_5.png?v=1446020786,5,,,,,,,,,,,,,,,,,,,,,
replay-womens-vicki-straight-jeans-blue-blue-denim-9-w25-l30-manufacturer-size-25,"Replay Women's Vicki Straight Jeans, Blue (Blue Denim 9), W25 L30 (Manufacturer Size 25)","<h2>We can propose you a list of gift ideas</h2>
<p>It will suit you best of all. Because we all live in the time of total consuming of uncountable goods and services, and this has become the main reason for the rapid growth of a so-called culture of consumption in our society. So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply. Our employees put in great efforts to make this commodity.</p>
<p>So, with the great pleasure we are offering you our goods, and we are sure that only our choices of garments will suit you best. <strong>Our product is universal because it suits different customers with different demands.</strong> We assure you it is really important, it shows that our good has such capacity as flexibility.</p>
So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply. <a target=""_blank"" href=""https://www.youtube.com/watch?v=CHXRTStPrUQ"">And that is why we are offering you the result of great market and technological research</a> – our magnificent product. Our employees put in great efforts to make this commodity. Fashion has always been so temporary and uncertain.<br>
<ul>
<li>Just take a look at our assortment</li>
<li>We have foreseen all your needs</li>
</ul>
<p>Obviously there is nothing wrong about it because fashion satisfies our willingness to be attractive. And also fashion is the detector of prosperity and social rank. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago.</p>",Styler,Ethnic,"casual, clothes, fashionable",true,Size,L,,,,,327AE-6,700,,99,deny,manual,133.00,,false,true,'327038522,https://cdn.shopify.com/s/files/1/1026/0021/products/replay-womens-vicki-straight-jeans-blue-blue-denim-9-w25-l30-manufacturer-size-25_1.png?v=1446020796,1,,false,,,,,,,,,,,,,,,,,kg,,
replay-womens-vicki-straight-jeans-blue-blue-denim-9-w25-l30-manufacturer-size-25,,,,,,,,XL,,,,,556-62225,1500,,1,deny,manual,130.00,139.00,true,true,'48245687465,https://cdn.shopify.com/s/files/1/1026/0021/products/replay-womens-vicki-straight-jeans-blue-blue-denim-9-w25-l30-manufacturer-size-25_2.png?v=1446020796,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/replay-womens-vicki-straight-jeans-blue-blue-denim-9-w25-l30-manufacturer-size-25_2.png?v=1446020796,kg,,
replay-womens-vicki-straight-jeans-blue-blue-denim-9-w25-l30-manufacturer-size-25,,,,,,,,XXL,,,,,'64554,300,shopify,50,deny,manual,135.00,,true,true,'2353565467,https://cdn.shopify.com/s/files/1/1026/0021/products/replay-womens-vicki-straight-jeans-blue-blue-denim-9-w25-l30-manufacturer-size-25_3.png?v=1446020796,3,,,,,,,,,,,,,,,,,,,kg,,
replay-womens-vicki-straight-jeans-blue-blue-denim-9-w25-l30-manufacturer-size-25,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/replay-womens-vicki-straight-jeans-blue-blue-denim-9-w25-l30-manufacturer-size-25_4.png?v=1446020796,4,,,,,,,,,,,,,,,,,,,,,
replay-womens-vicki-straight-jeans-blue-blue-denim-9-w25-l30-manufacturer-size-25,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/replay-womens-vicki-straight-jeans-blue-blue-denim-9-w25-l30-manufacturer-size-25_5.png?v=1446020796,5,,,,,,,,,,,,,,,,,,,,,
scotch-and-soda-mens-long-sleeve-jacket,Scotch & Soda Men's Long Sleeve Jacket,"<h3>Here you can find garments of all sizes, colors, styles and fabrics</h3>
<p>And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one. Fashion has always been so temporary and uncertain. You can’t keep up with it.</p>
<p>Just take a look at our assortment:</p>
<ol>
<li>We have foreseen all your needs</li>
<li>The most comfortable and safety clothing for your hobby is presented in our store</li>
<li>We assure you it is really important, it shows that our good has such capacity as flexibility</li>
</ol>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of different groups of potential clients very deeply. And that is why we are offering you the result of great market and technological research – our magnificent product. <strong>Our employees put in great efforts to make this commodity.</strong> Fashion has always been so temporary and uncertain.</p>
<h4>You have made the right choice</h4>
<p><iframe src=""https://www.youtube-nocookie.com/embed/0TSSoT4c2BI?rel=0"" allowfullscreen="""" height=""720"" width=""1280""></iframe></p>
<p>Our product is universal because it suits <a target=""_blank"" href=""https://www.youtube.com/watch?v=CHXRTStPrUQ"">different customers with different demands</a>. We assure you it is really important, it shows that our good has such capacity as flexibility. And it is good for you because as we all know people change their claims with the course of time, and our good will be actual for a long time. The main reason of buying our clothes is the unique combination of fair price, extraordinary style and perfect quality.<br><br><br></p>",Styler,Sportswear,"sweaters, t-shirts",true,Title,Default Title,,,,,'327038,4500,shopify,100,deny,manual,90.00,99.00,true,true,555-6322-1,https://cdn.shopify.com/s/files/1/1026/0021/products/scotch-and-soda-mens-long-sleeve-jacket_1.png?v=1446020806,1,,false,,,,,,,,,,,,,,,,,kg,,
scotch-and-soda-mens-long-sleeve-jacket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/scotch-and-soda-mens-long-sleeve-jacket_2.png?v=1446020806,2,,,,,,,,,,,,,,,,,,,,,
scotch-and-soda-mens-long-sleeve-jacket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/scotch-and-soda-mens-long-sleeve-jacket_3.png?v=1446020806,3,,,,,,,,,,,,,,,,,,,,,
scotch-and-soda-mens-long-sleeve-jacket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/scotch-and-soda-mens-long-sleeve-jacket_4.png?v=1446020806,4,,,,,,,,,,,,,,,,,,,,,
scotch-and-soda-mens-long-sleeve-jacket,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/scotch-and-soda-mens-long-sleeve-jacket_5.png?v=1446020806,5,,,,,,,,,,,,,,,,,,,,,
test-product,Test product,"",Styler,"","",true,Size,big,,,,,"",0,shopify,0,continue,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/1026/0021/products/canon_vixia_hf_g20_hd_camcorder_with_hd_cmos_pro_and_32gb_internal_flash_memory_1.png?v=1501248767,1,,false,,,,,,,,,,,,,,,,,lb,,
test-product,,,,,,,,small,,,,,"",0,shopify,0,continue,manual,0.00,,true,true,"",https://cdn.shopify.com/s/files/1/1026/0021/products/canon_vixia_hf_g30_hd_camcorder_with_hd_cmos_pro_1.png?v=1501248769,2,,,,,,,,,,,,,,,,,,,lb,,
three-dots-womens-3i4-sleeve-v-neck,Three Dots Women's 3i4 Sleeve V Neck,"<p>And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Our good was made up by best experts with the help of most advanced technologies, and it gives us right to consider this product to be a premium one.</p>
<h4>Fashion has always been so temporary and uncertain</h4>
<ol>
<li>With the great pleasure we are offering you our goods</li>
<li>Fashion satisfies our willingness to be attractive</li>
<li>That is why we are offering you the result of great market and technological research</li>
<li>The unique combination of fair price, extraordinary style and perfect quality</li>
</ol>
<p>So, this circumstance forced all leading successful companies to explore all needs and wishes of <strong>different groups of potential clients</strong> very deeply. And that is why we are offering you the result of great market and technological research – our magnificent product. Our employees put in great efforts to make this commodity. Fashion has always been so temporary and uncertain.</p>
<p>And also<a target=""_blank"" href=""https://www.youtube.com/watch?v=E_IG2ubeTME""> fashion is the detector of prosperity and social rank</a>. So, our natural desire to wear fashionable clothes has many reasons such as historical, social and others. Therefore being fashionable costs a lot of money. But nowadays fashion is not such unavailable as it was a couple of centuries ago.</p>",Styler,Uniforms,accessories,true,Title,Default Title,,,,,654654654-56,0,shopify,0,deny,manual,570.00,,true,false,'541265746854231,https://cdn.shopify.com/s/files/1/1026/0021/products/three-dots-womens-3i4-sleeve-v-neck_1.png?v=1446020815,1,,false,,,,,,,,,,,,,,,,,kg,,
three-dots-womens-3i4-sleeve-v-neck,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/three-dots-womens-3i4-sleeve-v-neck_2.png?v=1446020815,2,,,,,,,,,,,,,,,,,,,,,
three-dots-womens-3i4-sleeve-v-neck,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/three-dots-womens-3i4-sleeve-v-neck_3.png?v=1446020815,3,,,,,,,,,,,,,,,,,,,,,
three-dots-womens-3i4-sleeve-v-neck,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/three-dots-womens-3i4-sleeve-v-neck_4.png?v=1446020815,4,,,,,,,,,,,,,,,,,,,,,
three-dots-womens-3i4-sleeve-v-neck,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1026/0021/products/three-dots-womens-3i4-sleeve-v-neck_5.png?v=1446020815,5,,,,,,,,,,,,,,,,,,,,,
